['爱情', ('美国', 42, '占比:29.58%'), ('英国', 24, '占比:16.9%'), ('日本', 21, '占比:14.79%')]
['喜剧', ('美国', 156, '占比:47.71%'), ('英国', 76, '占比:23.24%'), ('日本', 25, '占比:7.65%')]
['科幻', ('英国', 38, '占比:42.22%'), ('日本', 27, '占比:30.0%'), ('美国', 19, '占比:21.11%')]
['动作', ('美国', 21, '占比:36.84%'), ('日本', 18, '占比:31.58%'), ('英国', 7, '占比:12.28%')]
['悬疑', ('英国', 37, '占比:51.39%'), ('美国', 15, '占比:20.83%'), ('日本', 9, '占比:12.5%')]
['犯罪', ('英国', 40, '占比:50.0%'), ('美国', 21, '占比:26.25%'), ('日本', 6, '占比:7.5%')]
['恐怖', ('美国', 10, '占比:62.5%'), ('英国', 3, '占比:18.75%'), ('日本', 2, '占比:12.5%')]
['青春', ('美国', 25, '占比:29.76%'), ('日本', 15, '占比:17.86%'), ('英国', 12, '占比:14.29%')]
['励志', ('美国', 53, '占比:46.49%'), ('日本', 18, '占比:15.79%'), ('英国', 11, '占比:9.65%')]
['战争', ('美国', 17, '占比:22.97%'), ('日本', 14, '占比:18.92%'), ('英国', 13, '占比:17.57%')]
['文艺', ('美国', 22, '占比:21.57%'), ('法国', 18, '占比:17.65%'), ('英国', 13, '占比:12.75%')]
['黑色幽默', ('美国', 21, '占比:35.0%'), ('英国', 17, '占比:28.33%'), ('法国', 6, '占比:10.0%')]
['传记', ('美国', 62, '占比:33.51%'), ('英国', 59, '占比:31.89%'), ('日本', 11, '占比:5.95%')]
['情色', ('美国', 2, '占比:50.0%'), ('日本', 1, '占比:25.0%'), ('法国', 1, '占比:25.0%')]
['暴力', ('美国', 15, '占比:78.95%'), ('英国', 3, '占比:15.79%'), ('俄罗斯', 1, '占比:5.26%')]
['音乐', ('美国', 305, '占比:42.36%'), ('英国', 197, '占比:27.36%'), ('德国', 46, '占比:6.39%')]
['家庭', ('美国', 62, '占比:48.82%'), ('日本', 14, '占比:11.02%'), ('英国', 13, '占比:10.24%')]
